Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-11-15 11:27:11,20,Architect,45,SVAROG,O,3004,?,Jaeger
2022-11-15 11:27:13,20,Architect,44,SVAROG,O,2004,??,Nemeum
2022-11-15 11:27:15,20,Architect,43,SVAROG,O,3003,?,Guard
2022-11-15 11:27:16,20,Architect,42,SVAROG,O,3006,?,Dinergate
2022-11-15 11:27:18,20,Architect,41,SVAROG,O,2006,??,Manticore
2022-11-15 11:27:20,20,Architect,40,SVAROG,O,3002,?,Vespid
2022-11-15 11:28:19,20,Architect,39,SVAROG,O,3005,?,Striker
2022-11-15 11:28:21,20,Architect,38,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:28:26,20,Architect,37,SVAROG,O,3008,?,Prowler
2022-11-15 11:29:34,20,Architect,36,SVAROG,O,3009,?,Jaguar
2022-11-15 11:29:37,20,Architect,35,SVAROG,O,2002,??,Dragoon
2022-11-15 11:29:39,20,Architect,34,SVAROG,O,3004,?,Jaeger
2022-11-15 11:29:41,20,Architect,33,SVAROG,O,3004,?,Jaeger
2022-11-15 11:29:43,20,Architect,32,SVAROG,O,2004,??,Nemeum
2022-11-15 11:29:45,20,Architect,31,SVAROG,O,1006,???,Architect
2022-11-15 11:30:02,20,Architect,99,SVAROG,O,3004,?,Jaeger
2022-11-15 11:30:02,20,Architect,98,SVAROG,O,2001,??,Brute
2022-11-15 11:30:02,20,Architect,97,SVAROG,O,2002,??,Dragoon
2022-11-15 11:30:02,20,Architect,96,SVAROG,O,2006,??,Manticore
2022-11-15 11:30:02,20,Architect,95,SVAROG,O,3004,?,Jaeger
2022-11-15 11:30:02,20,Architect,94,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:30:02,20,Architect,93,SVAROG,O,3004,?,Jaeger
2022-11-15 11:30:02,20,Architect,92,SVAROG,O,3007,?,Scout
2022-11-15 11:30:02,20,Architect,91,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:02,20,Architect,90,SVAROG,O,3003,?,Guard
2022-11-15 11:30:08,20,Architect,89,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:08,20,Architect,88,SVAROG,O,2003,??,Aegis
2022-11-15 11:30:08,20,Architect,87,SVAROG,O,2002,??,Dragoon
2022-11-15 11:30:08,20,Architect,86,SVAROG,O,3005,?,Striker
2022-11-15 11:30:08,20,Architect,85,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:08,20,Architect,84,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:08,20,Architect,83,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:08,20,Architect,82,SVAROG,O,3006,?,Dinergate
2022-11-15 11:30:08,20,Architect,81,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:30:08,20,Architect,80,SVAROG,O,3004,?,Jaeger
2022-11-15 11:30:13,20,Architect,79,SVAROG,O,2015,??,Jaeger SWAP
2022-11-15 11:30:13,20,Architect,78,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:13,20,Architect,77,SVAROG,O,2004,??,Nemeum
2022-11-15 11:30:13,20,Architect,76,SVAROG,O,3003,?,Guard
